b,map
0.000000000000000000e+00,1.139000000000000012e-01
1.000000000000000056e-01,9.639999999999999958e-02
2.000000000000000111e-01,8.530000000000000082e-02
3.000000000000000444e-01,7.679999999999999327e-02
4.000000000000000222e-01,7.000000000000000666e-02
5.000000000000000000e-01,6.460000000000000464e-02
6.000000000000000888e-01,5.899999999999999689e-02
7.000000000000000666e-01,5.539999999999999786e-02
8.000000000000000444e-01,5.160000000000000003e-02
9.000000000000000222e-01,4.809999999999999692e-02
1.000000000000000000e+00,4.460000000000000075e-02
