R,map
1.000000000000000000e+01,3.070999999999999841e-01
2.000000000000000000e+01,3.029000000000000026e-01
3.000000000000000000e+01,3.003000000000000114e-01
4.000000000000000000e+01,2.985999999999999766e-01
5.000000000000000000e+01,2.988999999999999990e-01
6.000000000000000000e+01,2.990999999999999770e-01
7.000000000000000000e+01,2.958000000000000074e-01
8.000000000000000000e+01,2.944999999999999840e-01
9.000000000000000000e+01,2.937000000000000166e-01
1.000000000000000000e+02,2.927000000000000157e-01
