alpha,map
0.000000000000000000e+00,8.200000000000000691e-03
5.000000000000000278e-02,1.430000000000000021e-02
1.000000000000000056e-01,2.690000000000000030e-02
1.500000000000000222e-01,4.580000000000000043e-02
2.000000000000000111e-01,6.750000000000000444e-02
2.500000000000000000e-01,8.959999999999999909e-02
3.000000000000000444e-01,1.131999999999999951e-01
3.500000000000000333e-01,1.380000000000000115e-01
4.000000000000000222e-01,1.640999999999999959e-01
4.500000000000000111e-01,1.809999999999999942e-01
5.000000000000000000e-01,2.086000000000000076e-01
5.500000000000000444e-01,2.300000000000000100e-01
6.000000000000000888e-01,2.379999999999999893e-01
6.500000000000000222e-01,2.442000000000000004e-01
7.000000000000000666e-01,2.480999999999999872e-01
7.500000000000000000e-01,2.492999999999999938e-01
8.000000000000000444e-01,2.492000000000000048e-01
8.500000000000000888e-01,2.477999999999999925e-01
9.000000000000000222e-01,2.482000000000000040e-01
9.500000000000000666e-01,2.480999999999999872e-01
1.000000000000000000e+00,2.467000000000000026e-01
