alpha,map
5.000000000000000000e+00,2.338999999999999968e-01
1.000000000000000000e+01,2.197999999999999954e-01
1.500000000000000000e+01,2.111999999999999988e-01
2.000000000000000000e+01,2.167000000000000037e-01
2.500000000000000000e+01,2.331000000000000016e-01
3.000000000000000000e+01,2.235000000000000042e-01
3.500000000000000000e+01,1.899000000000000132e-01
4.000000000000000000e+01,1.781000000000000083e-01
4.500000000000000000e+01,1.827000000000000013e-01
5.000000000000000000e+01,1.661999999999999866e-01
