N,map
1.000000000000000000e+01,2.477000000000000035e-01
2.000000000000000000e+01,2.328999999999999959e-01
3.000000000000000000e+01,2.039999999999999869e-01
4.000000000000000000e+01,1.708000000000000074e-01
5.000000000000000000e+01,1.610000000000000042e-01
6.000000000000000000e+01,1.560999999999999888e-01
7.000000000000000000e+01,1.400000000000000133e-01
8.000000000000000000e+01,1.335999999999999965e-01
9.000000000000000000e+01,1.217000000000000026e-01
1.000000000000000000e+02,1.156999999999999973e-01
