N,map
1.000000000000000000e+01,2.459000000000000075e-01
2.000000000000000000e+01,2.467999999999999916e-01
3.000000000000000000e+01,2.475999999999999868e-01
4.000000000000000000e+01,2.479000000000000092e-01
5.000000000000000000e+01,2.489000000000000101e-01
6.000000000000000000e+01,2.469000000000000083e-01
7.000000000000000000e+01,2.462000000000000022e-01
8.000000000000000000e+01,2.459999999999999964e-01
9.000000000000000000e+01,2.469000000000000083e-01
1.000000000000000000e+02,2.452000000000000013e-01
